contract_id,file,contract_type,amount_range,desensitized,lawyer_review,notes
C01,C01.docx,施工总承包,5000万-1亿,是,C01-法务审查意见.md,
C02,C02.docx,,,是,C02-法务审查意见.md,
C03,C03.docx,,,是,C03-法务审查意见.md,
C04,C04.docx,,,是,C04-法务审查意见.md,
C05,C05.docx,,,是,C05-法务审查意见.md,
C06,C06.docx,,,是,C06-法务审查意见.md,
C07,C07.docx,,,是,C07-法务审查意见.md,
C08,C08.docx,,,是,C08-法务审查意见.md,
C09,C09.docx,,,是,C09-法务审查意见.md,
C10,C10.docx,,,是,C10-法务审查意见.md,
C11,C11.docx,,,是,C11-法务审查意见.md,
C12,C12.docx,,,是,C12-法务审查意见.md,
C13,C13.docx,,,是,C13-法务审查意见.md,
C14,C14.docx,,,是,C14-法务审查意见.md,
C15,C15.docx,,,是,C15-法务审查意见.md,
C16,C16.docx,,,是,C16-法务审查意见.md,
C17,C17.docx,,,是,C17-法务审查意见.md,
C18,C18.docx,,,是,C18-法务审查意见.md,
C19,C19.docx,,,是,C19-法务审查意见.md,
C20,C20.docx,,,是,C20-法务审查意见.md,
